clusx clusy plot tree stem spec.1 spec.2 spec.3 spec.4 dbh health.id origi.1 stumpd totalh boleh
218 203 5 4 2 PRN-EXC Parinari-excelsa XXX XXX 3 1 N -1 -1 -1
218 203 5 5 1 ALB Albizia-sp. XXX XXX 6.5 1 N -1 -1 -1
218 203 5 6 1 ALB Albizia-sp. XXX XXX 5.5 1 N -1 -1 -1
218 203 5 7 1 PRN-EXC Parinari-excelsa XXX XXX 6 1 N -1 -1 -1
218 203 5 8 1 PRN-EXC Parinari-excelsa XXX XXX 11.5 1 N 12 6 -1
218 203 5 8 2 PRN-EXC Parinari-excelsa XXX XXX 13.5 1 N -1 -1 -1
218 203 6 1 1 MRK-OBT Markhamia-obtusifolia XXX XXX 2.5 1 N 3 2 -1
218 203 6 1 2 MRK-OBT Markhamia-obtusifolia XXX XXX 1 1 N -1 -1 -1
218 203 6 1 3 MRK-OBT Markhamia-obtusifolia XXX XXX 1 1 n -1 -1 -1
218 203 6 2 1 ALB-VER Albizia-versicolor XXX XXX 1.5 1 N -1 -1 -1
218 203 6 2 2 ALB-VER Albizia-versicolor XXX XXX 1.5 1 N -1 -1 -1
218 203 6 2 3 ALB-VER Albizia-versicolor XXX XXX 3.5 1 N 6 3 -1
218 203 6 2 4 ALB-VER Albizia-versicolor XXX XXX 2 1 N -1 -1 -1
218 203 6 3 1 ALB Albizia-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 6 4 1 ALB Albizia-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 7 1 1 STR Strychnos-sp. XXX XXX 4.5 1 N -1 -1 -1
218 203 7 1 2 STR Strychnos-sp. XXX XXX 3 1 N -1 -1 -1
218 203 7 1 3 STR Strychnos-sp. XXX XXX 4 1 N -1 -1 -1
218 203 7 1 4 STR Strychnos-sp. XXX XXX 3.5 1 N 19 3 -1
218 203 7 1 5 STR Strychnos-sp. XXX XXX 2 1 N -1 -1 -1
218 203 7 1 6 STR Strychnos-sp. XXX XXX 4.5 1 N -1 -1 -1
218 203 7 1 7 STR Strychnos-sp. XXX XXX 5.5 1 N -1 -1 -1
218 203 7 2 1 MRK-OBT Markhamia-obtusifolia XXX XXX 16 2 N -1 -1 -1
218 203 7 3 1 MRK-OBT Markhamia-obtusifolia XXX XXX 9 2 N -1 -1 -1
218 203 7 4 1 MRK-OBT Markhamia-obtusifolia XXX XXX 5 1 N 8 5 -1
218 203 7 5 1 XLT-TET Xylotheca-tettensis XXX XXX 5 3 N -1 -1 -1
218 203 7 6 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 13 1 N -1 -1 -1
218 203 7 7 1 MRK-OBT Markhamia-obtusifolia XXX XXX 14 1 N -1 -1 -1
